Country_Region,ÃÑÈ®ÁøÀÚ,ÀÏÆò±Õ È®ÁøÀÚ,ÃÑ»ç¸ÁÀÚ,ÀÏÆò±Õ »ç¸ÁÀÚ,missC,nullC,missD,nullD
Afghanistan,105754,289.7369863,5167,14.15616438,0,0,0,0
Albania,151908,416.1863014,2036,5.578082192,0,0,0,0
Algeria,118822,325.539726,3520,9.643835616,0,0,0,0
Andorra,15691,42.9890411,56,0.153424658,0,0,0,0
Angola,64040,175.4520548,1365,3.739726027,0,0,0,0
Antarctica,11,0.030136986,0,0,0,0,0,0
Antigua and Barbuda,4125,11.33241758,114,0.312328767,1,0,0,0
Argentina,4028894,11038.06575,73924,202.5315068,0,0,0,0
Armenia,185521,508.2767123,5151,14.1510989,0,0,1,0
Australia,397071,1087.865753,1346,3.707988981,0,0,2,0
Austria,914748,2506.158904,9329,25.55890411,0,0,0,0
Azerbaijan,398247,1091.087671,5717,15.6630137,0,0,0,0
Bahamas,16653,45.75,547,1.498630137,1,0,0,0
Bahrain,189387,518.8684932,1042,2.854794521,0,0,0,0
Bangladesh,1072029,2937.065753,20513,56.2,0,0,0,0
Barbados,28182,77.2109589,253,0.693150685,0,0,0,0
Belarus,504826,1383.084932,4154,11.38082192,0,0,0,0
Belgium,1458847,3996.841096,8803,24.11780822,0,0,0,0
Belize,22064,60.44931507,358,0.986225895,0,0,2,0
Benin,21684,59.40821918,117,0.320547945,0,0,0,0
Bhutan,1990,5.452054795,3,0.008219178,0,0,0,0
Bolivia,439629,1204.463014,10515,28.80821918,0,0,0,0
Bosnia and Herzegovina,180328,494.0493151,9403,25.83241758,0,0,1,0
Botswana,204704,560.8328767,2402,6.580821918,0,0,0,0
Brazil,14610807,40029.60822,424262,1162.361644,0,0,0,0
Brunei,15331,42.11813187,95,0.260273973,1,0,0,0
Bulgaria,544842,1492.717808,23379,64.05205479,0,0,0,0
Burkina Faso,10925,29.93150685,233,0.638356164,0,0,0,0
Burma,406204,1112.887671,16587,45.56868132,0,0,1,0
Burundi,26548,72.73424658,36,0.098630137,0,0,0,0
Cabo Verde,29892,81.89589041,240,0.659340659,0,0,1,0
Cambodia,120115,329.0821918,3012,8.252054795,0,0,0,0
Cameroon,83090,227.6438356,1403,3.843835616,0,0,0,0
Canada,1633486,4475.30411,14585,40.06868132,0,0,1,0
Central African Republic,7200,19.7260274,38,0.104109589,0,0,0,0
Chad,3590,9.835616438,77,0.210958904,0,0,0,0
Chile,1197521,3280.879452,22720,62.41758242,0,0,1,0
China,25325,69.38356164,67,0.183561644,0,0,0,0
Colombia,3514665,9629.219178,86729,237.6136986,0,0,0,0
Comoros,5692,15.59452055,147,0.402739726,0,0,0,0
Congo (Brazzaville),12982,35.56712329,259,0.709589041,0,0,0,0
Congo (Kinshasa),57135,156.5342466,614,1.682191781,0,0,0,0
Costa Rica,401235,1099.273973,5168,14.15890411,0,0,0,0
Cote d'Ivoire,48514,132.9150685,577,1.580821918,0,0,0,0
Croatia,504408,1381.939726,8618,23.6109589,0,0,0,0
Cuba,954141,2614.084932,8176,22.4,0,0,0,0
Cyprus,144481,395.8383562,518,1.419178082,0,0,0,0
Czechia,1760378,4849.526171,24565,68.23611111,2,0,5,0
Denmark,648657,1782.024725,1984,5.435616438,1,0,0,0
Diamond Princess,0,0,0,0,0,0,0,0
Djibouti,7825,21.43835616,128,0.350684932,0,0,0,0
Dominica,6760,18.57142857,47,0.128767123,1,0,0,0
Dominican Republic,247993,679.4328767,1833,5.021917808,0,0,0,0
Ecuador,337313,926.6840659,19647,53.82739726,1,0,0,0
Egypt,247513,678.1178082,14121,38.68767123,0,0,0,0
El Salvador,75703,207.4054795,2497,6.84109589,0,0,0,0
Equatorial Guinea,8433,23.10410959,89,0.243835616,0,0,0,0
Eritrea,6691,18.33150685,73,0.2,0,0,0,0
Estonia,213418,584.7068493,1703,4.665753425,0,0,0,0
Eswatini,56751,155.4821918,1098,3.008219178,0,0,0,0
Ethiopia,296078,811.1726027,5014,13.7369863,0,0,0,0
Fiji,53283,145.9808219,698,1.917582418,0,0,1,0
Finland,234407,642.2109589,1122,3.073972603,0,0,0,0
France,7748967,21288.37088,59971,164.3041096,1,0,0,0
Gabon,32227,88.29315068,224,0.61369863,0,0,0,0
Gambia,6373,17.46027397,219,0.6,0,0,0,0
Georgia,707321,1937.865753,11295,30.94520548,0,0,0,0
Germany,5447352,15006.47934,78321,215.1675824,2,0,1,0
Ghana,88215,241.6849315,960,2.630136986,0,0,0,0
Greece,1072003,2936.994521,15952,43.70410959,0,0,0,0
Grenada,6054,16.58630137,200,0.547945205,0,0,0,0
Guatemala,490347,1343.416438,11297,31.03571429,0,0,1,0
Guinea,18329,50.21643836,310,0.849315068,0,0,0,0
Guinea-Bissau,4032,11.04657534,104,0.284931507,0,0,0,0
Guyana,33241,91.07123288,890,2.438356164,0,0,0,0
Haiti,15986,43.79726027,534,1.479224377,0,0,4,0
Holy See,0,0,0,0,0,0,0,0
